Beneteau First 45 LNP:>450.000Euro;https://www.boats24.com/sailboat/sailing-yacht/beneteau/453744/first-45-lnp450-000euro-mit-yanmar-motor.html;176000;2008; Croatia;WellMaintained
Deutscher Werftbau (DE) Reinke Super Secura;https://www.boats24.com/sailboat/sailing-yacht/deutscher-werftbau/483633/reinke-super-secura-mit-volvo-penta-md-17c-motor.html;39000;1981; Germany;WellMaintained
Bavaria 37 Cruiser;https://www.boats24.com/sailboat/sailing-yacht/bavaria/454610/37-cruiser-mit-volvo-penta-d2-40-motor.html;54000;2006; Greece;WellMaintained
Dufour 325 Grand Large Limited Edition;https://www.boats24.com/sailboat/cabin-boat/dufour/496022/325-grand-large-limited-edition-mit-volvo-penta-motor.html;63000;2006; Belgium;WellMaintained
Maxi Yachts (SE) Maxi 84;https://www.boats24.com/sailboat/sailing-yacht/maxi-yachts/454638/maxi-84-mit-volvo-penta-motor.html;17000;1979; Germany;WellMaintained
unbekannt Bianca 27;https://www.boats24.com/sailboat/cabin-boat/unbekannt/419488/bianca-27-mit-volvo-penta-motor.html;7250;1972; Germany;RepairsNeeded
Ott Yachting (D) Diamant 3000;https://www.boats24.com/sailboat/keelboat/ott-yachting/446154/diamant-3000-mit-nanni-nk-245-he-motor.html;52500;2000; Germany;WellMaintained
Bavaria bavaria 46 cruiser;https://www.boats24.com/sailboat/sailing-yacht/bavaria/462359/bavaria-46-cruiser-mit-volvo-penta-motor.html;80000;2005; Greece;WellMaintained
Bootswerft Minn Patrizia;https://www.boats24.com/sailboat/cabin-boat/bootswerft-minn/408539/patrizia.html;5600;1967; Germany;WellMaintained
Pelle Peterson (SE) MAXI 77;https://www.boats24.com/sailboat/sailing-yacht/pelle-peterson/495647/maxi-77-mit-volvo-motor.html;8000;1973; Germany;WellMaintained
Dehler Optima 92;https://www.boats24.com/sailboat/sailing-yacht/dehler/495641/optima-92-mit-yanmar-motor.html;24000;1975; Germany;WellMaintained
Sunbeam Yachts Peiso 22 SD HD KK Baujahr 2007;https://www.boats24.com/sailboat/sailing-yacht/sunbeam-yachts/495524/peiso-22-sd-hd-kk-baujahr-2007-mit-minn-kota-riptite101-motor.html;23600;2007; Austria;WellMaintained
Hallberg-Rassy 42;https://www.boats24.com/sailboat/sailing-yacht/hallberg-rassy/367266/42.html;260000;1984; Germany;WellMaintained
Colin Archer Colin Archer Venus 42;https://www.boats24.com/sailboat/classic-boat/colin-archer/461817/colin-archer-venus-42-mit-ford-lehman-motor.html;140000;1995; Netherlands;WellMaintained
Magazzu Tris 10;https://www.boats24.com/sailboat/trimaran/magazzu/475236/tris-10-mit-yamaha-motor.html;39000;2006; Italy;LikeNew
Bavaria 41 Holiday;https://www.boats24.com/sailboat/sailing-yacht/bavaria/495240/41-holiday-mit-volvo-penta-motor.html;58000;1997; Italy;WellMaintained
Fountaine Pajot Salina 48;https://www.boats24.com/sailboat/catamaran/fountaine-pajot/418051/salina-48-mit-volvo-penta-motor.html;320000;2008; Italy;WellMaintained
Hallberg-Rassy HR40;https://www.boats24.com/sailboat/sailing-yacht/hallberg-rassy/489341/hr40-mit-yanmar-motor.html;268000;2007; Canary Islands;WellMaintained
Van De Stadt (NL) Norman;https://www.boats24.com/sailboat/keelboat/van-de-stadt/495234/norman-mit-yanmar-motor.html;60000;1998; United Arab Emirates;LikeNew
CNSO Mikado 53;https://www.boats24.com/sailboat/sailing-yacht/cnso/489248/mikado-53.html;90000;1981; Croatia;WellMaintained
Sas-vektor 39;https://www.boats24.com/sailboat/sailing-yacht/sas-vektor/489232/39-mit-yanmar-motor.html;40000;1996; Croatia;WellMaintained
LM Boats (DK) Vitesse 33 Cabrio;https://www.boats24.com/sailboat/motor-sailer/lm-boats/495207/vitesse-33-cabrio-mit-volvo-penta-motor.html;48000;1989; Germany;WellMaintained
Bootswerft Menge Motorsegler;https://www.boats24.com/sailboat/classic-boat/bootswerft-menge/495166/motorsegler-mit-sole-62-motor.html;32500;1932; Germany;WellMaintained
Mediterranean Ketch;https://www.boats24.com/sailboat/motor-sailer/mediterranean/417547/ketch-mit-volvo-motor.html;579000;2006; Turkey;LikeNew
Abeking & Rasmussen (DE) G70;https://www.boats24.com/sailboat/classic-boat/abeking-rasmussen/468188/g70-mit-johnson-motor.html;22500;1949; Germany;LikeNew
Reinke-Riss (DE) Taranga;https://www.boats24.com/sailboat/sailing-yacht/reinke-riss/470229/taranga-mit-vetus-m2-06-motor.html;14000;1993; Malaysia;WellMaintained
X-Yachts (DK) X-37;https://www.boats24.com/sailboat/sailing-yacht/x-yachts/494690/x-37-mit-yanmar-3ym30-s-motor.html;135000;2008; Netherlands;WellMaintained
Schöchl Sunbeam 44;https://www.boats24.com/sailboat/sailing-yacht/schoechl/494688/sunbeam-44-mit-yanamr-motor.html;178000;1997; Germany;WellMaintained
Carter 37;https://www.boats24.com/sailboat/sailing-yacht/carter/494501/37-mit-nani-motor.html;34500;1973; Germany;WellMaintained
Noordkaper 40 Fuss;https://www.boats24.com/sailboat/sailing-yacht/noordkaper/488289/40-fuss-mit-vw-marine-100-5-tdi-motor.html;315000;2005; Germany;WellMaintained
Dehler Delanta 75;https://www.boats24.com/sailboat/cabin-boat/dehler/488388/delanta-75-mit-vetus-motor.html;25000;1980; Switzerland;RepairsNeeded
Granada (DK) 38;https://www.boats24.com/sailboat/sailing-yacht/granada/493613/38-mit-bukh-motor.html;59000;1979; Germany;WellMaintained
Bavaria Bavaria 42;https://www.boats24.com/sailboat/sailing-yacht/bavaria/433428/bavaria-42-mit-volvo-penta-motor.html;65000;1999; Greece;WellMaintained
Cobra Yachts 850;https://www.boats24.com/sailboat/sailing-yacht/cobra-yachts/493513/850-mit-volvo-penta-md7-motor.html;11490;1980; Germany;WellMaintained
Hurley Marine (GB) 3090;https://www.boats24.com/sailboat/sailing-yacht/hurley-marine/450820/30-90-mit-barrus-shire-motor.html;16000;1975; Poland;WellMaintained
Genzel Yachtbau (DE) Phantom 28 Neu;https://www.boats24.com/sailboat/sailing-yacht/genzel-yachtbau/487750/phantom-28-neu-mit-barrus-shire-motor.html;12943;1978; Poland;WellMaintained
Cheoy Lee (HK) Rhodes Offshore 40;https://www.boats24.com/sailboat/classic-boat/cheoy-lee/480674/rhodes-offshore-40-mit-perkins-motor.html;35000;1970; Spain;WellMaintained
Marine Projects (GB) Moody38CC;https://www.boats24.com/sailboat/sailing-yacht/marine-projects/397179/moody38cc-mit-volvo-penta-motor.html;79000;1975; Croatia;WellMaintained
Yachtbau s.r.o. Lagunara;https://www.boats24.com/sailboat/sailing-yacht/yachtbau-s-r-o-/471274/lagunara-mit-yamaha-motor.html;32500;2009; Italy;WellMaintained
Rambeck DRACHEN  Holzboot;https://www.boats24.com/sailboat/keelboat/rambeck/495523/drachen-holzboot.html;Price On Request;1957; Germany;LikeNew
Bavaria 42 Cruiser;https://www.boats24.com/sailboat/sailing-yacht/bavaria/441319/42-cruiser-mit-volvo-motor.html;89900;2006; Croatia;LikeNew
Bavaria 33 Cruiser;https://www.boats24.com/sailboat/sailing-yacht/bavaria/499124/33-cruiser-mit-volvo-penta-d1-30-motor.html;56000;2006; Germany;WellMaintained
Bianca (DK) Bianca 28;https://www.boats24.com/sailboat/sailing-yacht/bianca/482457/bianca-28-mit-yanmar-motor.html;14900;1982; Germany;WellMaintained
AST - Advanced Sailing Technologies Foiling Di;https://www.boats24.com/sailboat/dinghy/ast-advanced-sailing-technologies/490823/foiling-dinghy.html;12500;2020; Germany;LikeNew
Reinke (DE) 12 S;https://www.boats24.com/sailboat/sailing-yacht/reinke/328259/12-s-mit-ford-motor.html;42000;1992; Germany;WellMaintained
Rolf Wefers RW 26;https://www.boats24.com/sailboat/classic-boat/rolf-wefers/498206/rw-26-mit-faryman-18w437-motor.html;24000;2008; Germany;WellMaintained
Mini 6.50 Proto;https://www.boats24.com/sailboat/keelboat/mini-6-50/498736/proto.html;32500;2005; Germany;WellMaintained
Vindö (SE) 30;https://www.boats24.com/sailboat/sailing-yacht/vindoe/499036/30-mit-volvo-penta-md2-b-motor.html;18600;1972; Germany;WellMaintained
Ott Yachting (D) Diamant 3000;https://www.boats24.com/sailboat/sailing-yacht/ott-yachting/498935/diamant-3000-mit-nanni-dieselmotor-motor.html;50000;1999; Germany;WellMaintained
Zygal Boats Tornado;https://www.boats24.com/sailboat/catamaran/zygal-boats/495340/tornado.html;2350;1973; Germany;LikeNew
Bavaria Cruiser 32;https://www.boats24.com/sailboat/keelboat/bavaria/495302/cruiser-32-mit-volvo-penta-motor.html;63000;2010; Greece;WellMaintained
Yachtwerft Wirz (CH) Drachen;https://www.boats24.com/sailboat/classic-boat/yachtwerft-wirz/499034/drachen-mit-honda-motor.html;34500;1966; Germany;WellMaintained
Mader Kielzugvogel;https://www.boats24.com/sailboat/dinghy/mader/499027/kielzugvogel.html;3200;1969; Germany;WellMaintained
Hanse Yachts 370;https://www.boats24.com/sailboat/keelboat/hanse-yachts/499029/370-mit-yanmar-motor.html;65000;2007; France;WellMaintained
BWC (DE) Flying Cruiser S;https://www.boats24.com/sailboat/cabin-boat/bwc/487165/flying-cruiser-s.html;4900;1978; Germany;WellMaintained
unbekannt Neptun 210;https://www.boats24.com/sailboat/cabin-boat/unbekannt/498929/neptun-210.html;1800;1968; Germany;WellMaintained
Bopp & Dietrich (DE) 15er Jollenkreuzer (P-Jol;https://www.boats24.com/sailboat/dinghy/bopp-dietrich/498632/15er-jollenkreuzer-p-jolle.html;9500;1967; Austria;WellMaintained
Najad (SE) NAJAD 34;https://www.boats24.com/sailboat/sailing-yacht/najad/495235/najad-34-mit-peugeot-diesel-motor.html;32500;1980; Germany;WellMaintained
Bavaria 42 cruser;https://www.boats24.com/sailboat/cruiser/bavaria/476408/42-cruser-mit-volvo-penta-motor.html;76062;2005; United Kingdom;WellMaintained
Bellamer Santer 760;https://www.boats24.com/sailboat/keelboat/bellamer/494594/santer-760.html;18500;2003; Germany;WellMaintained
Etap (BE) 34 s;https://www.boats24.com/sailboat/sailing-yacht/etap/468259/34-s-mit-volvo-penta-motor.html;40000;1997; Italy;WellMaintained
unbekannt Segelyacht;https://www.boats24.com/sailboat/classic-boat/unbekannt/498839/segelyacht-mit-volvo-motor.html;25000;1989; Germany;WellMaintained
Beneteau Platu 25;https://www.boats24.com/sailboat/sailing-yacht/beneteau/498791/platu-25.html;10530;1999; Poland;WellMaintained
Hanse Yachts Hanse 315;https://www.boats24.com/sailboat/sailing-yacht/hanse-yachts/491220/hanse-315-mit-yanmar-motor.html;124500;2020; Germany;LikeNew
Van De Stadt (NL) Wibo 930;https://www.boats24.com/sailboat/sailing-yacht/van-de-stadt/470546/wibo-930-mit-nanni-motor.html;8000;1974; Denmark;WellMaintained
Winneryachts Winner 950;https://www.boats24.com/sailboat/sailing-yacht/winneryachts/498634/winner-950-mit-yanmar-motor.html;48000;1997; Germany;WellMaintained
unbekannt Hansa 999;https://www.boats24.com/sailboat/sailing-yacht/unbekannt/498751/hansa-999-mit-vetus-m-4-15a202a-motor.html;78000;2008; Germany;WellMaintained
Solaris 62 one design Bj 2011;https://www.boats24.com/sailboat/sailing-yacht/solaris/490694/62-one-design-bj-2011-mit-yanmar-motor.html;980000;2011; Italy;LikeNew
Dockstarvarvet Neptunkryssare;https://www.boats24.com/sailboat/classic-boat/dockstarvarvet/448298/neptunkryssare-mit-mercury-motor.html;22000;1946; Germany;WellMaintained
Bicker (DE) Biga 330;https://www.boats24.com/sailboat/sailing-yacht/bicker/498729/biga-330-mit-volvo-penta-d1-f30-motor.html;140000;2010; Germany;WellMaintained
Bavaria 31 c2;https://www.boats24.com/sailboat/sailing-yacht/bavaria/498746/31-c2-mit-volvo-md-2020-motor.html;55000;2001; Germany;WellMaintained
Bente Bente 24;https://www.boats24.com/sailboat/cabin-boat/bente/498732/bente-24-mit-yamaha-motor.html;31500;2016; Germany;LikeNew
Etap (BE) Etap 28;https://www.boats24.com/sailboat/cabin-boat/etap/498639/etap-28-mit-volvo-penta-motor.html;13000;1978; Croatia;WellMaintained
Marieholm 26;https://www.boats24.com/sailboat/sailing-yacht/marieholm/498640/26-mit-volvo-md05-motor.html;15400;1984; Germany;WellMaintained
